inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
158165.0,-760.44775,-435.82227,-574.07227,-406.57227
158182.5,-760.56104,-435.93604,-574.18604,-406.68604
158200.0,-760.6753,-436.0498,-574.2998,-406.7998
158217.5,-760.7886,-436.16357,-574.4136,-406.91357
158235.0,-760.90186,-436.27734,-574.52734,-407.02734
158252.5,-761.0161,-436.3911,-574.6411,-407.1411
158270.0,-761.1299,-436.50537,-574.7554,-407.25537
158287.5,-761.24414,-436.61914,-574.86914,-407.36914
158305.0,-761.3574,-436.73242,-574.9824,-407.48242
158322.5,-761.4717,-436.8462,-575.0962,-407.5962
158340.0,-761.58496,-436.95996,-575.20996,-407.70996
158357.5,-761.6992,-437.07373,-575.3237,-407.82373
158375.0,-761.8125,-437.1875,-575.4375,-407.9375
158392.5,-761.9258,-437.30127,-575.5513,-408.05127
158410.0,-762.04004,-437.41504,-575.66504,-408.16504
158427.5,-762.1533,-437.5288,-575.7788,-408.2788
158445.0,-762.2676,-437.64258,-575.8926,-408.39258
158462.5,-762.38086,-437.75586,-576.00586,-408.50586
158480.0,-762.4951,-437.86963,-576.1196,-408.61963
158497.5,-762.6089,-437.9839,-576.2339,-408.7339
158515.0,-762.72314,-438.09766,-576.34766,-408.84766
158532.5,-762.8364,-438.21143,-576.4614,-408.96143
158550.0,-762.9497,-438.3252,-576.5752,-409.0752
158567.5,-763.06396,-438.43896,-576.68896,-409.18896
158585.0,-763.17725,-438.55273,-576.80273,-409.30273
158602.5,-763.2915,-438.66602,-576.916,-409.41602
158620.0,-763.4048,-438.7798,-577.0298,-409.5298
158637.5,-763.51904,-438.89355,-577.14355,-409.64355
158655.0,-763.6323,-439.00732,-577.2573,-409.75732
158672.5,-763.7456,-439.1211,-577.3711,-409.8711
158690.0,-763.85986,-439.23486,-577.48486,-409.98486
158707.5,-763.97363,-439.34912,-577.5991,-410.09912
158725.0,-764.0879,-439.4629,-577.7129,-410.2129
158742.5,-764.2012,-439.57617,-577.8262,-410.32617
158760.0,-764.3154,-439.68994,-577.93994,-410.43994
158777.5,-764.4287,-439.8037,-578.0537,-410.5537
158795.0,-764.54297,-439.91748,-578.1675,-410.66748
158812.5,-764.65625,-440.03125,-578.28125,-410.78125
158830.0,-764.76953,-440.14502,-578.395,-410.89502
158847.5,-764.8838,-440.2588,-578.5088,-411.0088
158865.0,-764.9971,-440.37256,-578.62256,-411.12256
158882.5,-765.1113,-440.48633,-578.7363,-411.23633
158900.0,-765.2246,-440.5996,-578.8496,-411.3496
158917.5,-765.33887,-440.71338,-578.9634,-411.46338
158935.0,-765.45264,-440.82764,-579.07764,-411.57764
158952.5,-765.5669,-440.9414,-579.1914,-411.6914
